"arch","mean_off","s1","s2","s3","s4","e12","e13","e14","e23","e24","e34","r12","r23","r34","h12","h13","h14","h23","h24","h34","N","K","f0000","f0001","f0010","f0011","f0100","f0101","f0110","f0111","f1000","f1001","f1010","f1011","f1100","f1101","f1110","f1111","n_rep","p_anc","p_A1","p_B1","p_A2","p_B2","p_parA","p_parB","p_hybA1","p_hybB1","p_all_inc","tL_A1","tL_B1","tL_A2","tL_B2","t_dmi1","t_dmi2","t_anc","t_A1","t_B1","t_A2","t_B2","t_parA","t_parB","t_hybA1","t_hybB1","t_all_inc","t_res_given_hybA1","t_res_given_hybA2","t_both","p_alive","p_alive_anc","p_alive_A1","p_alive_B1","p_alive_A2","p_alive_B2","p_alive_parA","p_alive_parB","p_alive_hybA1","p_alive_hybB1","p_alive_all_inc","tL_alive_A1","tL_alive_B1","tL_alive_A2","tL_alive_B2","t_alive_dmi1","t_alive_dmi2","t_alive_both","NL_A1","NL_B1","NL_A2","NL_B2","NL_alive_A1","NL_alive_B1","NL_alive_A2","NL_alive_B2","N_dmi1","N_dmi2","N_alive_dmi1","N_alive_dmi2","N_both","N_alive_both","N_min_alive"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adj_ABAB","1.005966","-0.048685","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","5000","1e+06","4700","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","1000","191","809","0","0","0","0","0","0","0","0","98.081","-1","-1","-1","83.9476439790576","101.417799752781","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","-1","NaN","NaN","-1","329","0","329","0","0","0","0","0","0","0","0","108.379939209726","-1","-1","-1","-1","-1","-1","51.024","4580.439","4580.439","4580.439","108.142857142857","4580.02431610942","4580.02431610942","4580.02431610942","51.024","4580.439","108.142857142857","4580.02431610942","4580.439","4580.02431610942","47.6838905775076"
"adj_ABAB","1.005966","-0.048685","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","5000","1e+06","4999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1000","998","2","0","0","0","0","0","0","0","0","5.879","-1","-1","-1","6.125250501002","75","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","-1","NaN","NaN","-1","1","0","1","0","0","0","0","0","0","0","0","85","-1","-1","-1","-1","-1","-1","3189.423","4549.751","4549.751","4549.751","27","4470","4470","4470","3189.423","4549.751","27","4470","4549.751","4470","16"
"adj_ABAB","1.005966","-0.094461","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","5000","1e+06","4700","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","1000","118","882","0","0","0","0","0","0","0","0","52.915","-1","-1","-1","46.4406779661017","53.781179138322","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","-1","NaN","NaN","-1","288","0","288","0","0","0","0","0","0","0","0","56.5","-1","-1","-1","-1","-1","-1","36.053","4178.542","4178.542","4178.542","71.4513888888889","4180.69444444444","4180.69444444444","4180.69444444444","36.053","4178.542","71.4513888888889","4180.69444444444","4178.542","4180.69444444444","34.8888888888889"
"adj_ABAB","1.005966","-0.094461","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","5000","1e+06","4999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1000","993","7","0","0","0","0","0","0","0","0","4.434","-1","-1","-1","4.47935548841893","46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","-1","NaN","NaN","-1","0","0","0","0","0","0","0","0","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2410.955","4123.609","4123.609","4123.609","NaN","NaN","NaN","NaN","2410.955","4123.609","NaN","NaN","4123.609","NaN","NaN"
"adj_ABAB","1.005966","-0.136866","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","5000","1e+06","4700","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","1000","69","931","0","0","0","0","0","0","0","0","37.146","-1","-1","-1","33.5942028985507","37.4092373791622","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","-1","NaN","NaN","-1","274","0","274","0","0","0","0","0","0","0","0","39.6131386861314","-1","-1","-1","-1","-1","-1","33.329","3824.547","3824.547","3824.547","59.6861313868613","3822.42335766423","3822.42335766423","3822.42335766423","33.329","3824.547","59.6861313868613","3822.42335766423","3824.547","3822.42335766423","31.7226277372263"
"adj_ABAB","1.005966","-0.136866","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","5000","1e+06","4999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1000","997","3","0","0","0","0","0","0","0","0","3.228","-1","-1","-1","3.51955867602808","31.6666666666667","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","-1","NaN","NaN","-1","0","0","0","0","0","0","0","0","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2065.581","3750.575","3750.575","3750.575","NaN","NaN","NaN","NaN","2065.581","3750.575","NaN","NaN","3750.575","NaN","NaN"
"adj_ABAB","1.005966","-0.175379","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","5000","1e+06","4700","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","1000","27","973","0","0","0","0","0","0","0","0","29.56","-1","-1","-1","28.5555555555556","29.5878725590956","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","-1","NaN","NaN","-1","307","0","307","0","0","0","0","0","0","0","0","29.9478827361564","-1","-1","-1","-1","-1","-1","34.231","3515.417","3515.417","3515.417","50.8534201954397","3514.59609120521","3514.59609120521","3514.59609120521","34.231","3515.417","50.8534201954397","3514.59609120521","3515.417","3514.59609120521","28.14332247557"
"adj_ABAB","1.005966","-0.175379","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","1","1","1","1","1","1","5000","1e+06","4999","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1000","993","7","0","0","0","0","0","0","0","0","2.759","-1","-1","-1","2.97985901309164","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","-1","NaN","NaN","-1","0","0","0","0","0","0","0","0","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1711.973","3418.16","3418.16","3418.16","NaN","NaN","NaN","NaN","1711.973","3418.16","NaN","NaN","3418.16","NaN","NaN"
